"","date","hits","keyword","geo","gprop","category"
"90",2018-09-23 00:00:00,82,"fobia social","CL","web",0
"91",2018-09-30 00:00:00,42,"fobia social","CL","web",0
"92",2018-10-07 00:00:00,93,"fobia social","CL","web",0
"93",2018-10-14 00:00:00,74,"fobia social","CL","web",0
"94",2018-10-21 00:00:00,71,"fobia social","CL","web",0
"95",2018-10-28 00:00:00,46,"fobia social","CL","web",0
"96",2018-11-04 01:00:00,28,"fobia social","CL","web",0
"97",2018-11-11 01:00:00,57,"fobia social","CL","web",0
"98",2018-11-18 01:00:00,29,"fobia social","CL","web",0
"99",2018-11-25 01:00:00,58,"fobia social","CL","web",0
"100",2018-12-02 01:00:00,29,"fobia social","CL","web",0
"101",2018-12-09 01:00:00,78,"fobia social","CL","web",0
"102",2018-12-16 01:00:00,32,"fobia social","CL","web",0
"103",2018-12-23 01:00:00,35,"fobia social","CL","web",0
"104",2018-12-30 01:00:00,52,"fobia social","CL","web",0
